invitationCode,utmSource,button_name,tm,to_date,platform,device_model,pwa_installed,new_user,device_id,fbclid,user_id,pkg,ver,ip_addr,model,android_id,nickname
42SMUS1,lingfeng_to_eheet,start_now,2026-01-29 00:47:00,2026/1/29,Safari,iOS,false,,3367fdb6-7c4c-432c-941c-70c0fa91688a,,174828670802043220,work.eheet.eheet,1.0.0,"74.101.213.155, 15.158.226.97","iPhone14,2",e930e270-5e78-4816-8efd-26497ccabdd5,EheetiOS
UGGFPMK,lingfeng_to_eheet,start_now,2026-01-29 04:23:04,2026/1/29,Safari,iOS,false,,1b7231aa-44d4-4779-a0c4-4bdd29a6b709,,168223279082239580,work.eheet.eheet,1.0.0,"64.121.165.29, 15.158.232.72","iPhone14,2",591864f8-fdd1-49a1-bc83-eff251e64a38,EheetiOS
Q7X6LG4,lingfeng_to_eheet,start_now,2026-01-29 05:52:41,2026/1/29,Safari,iOS,false,,c34a09b1-7c77-4273-be70-a6fc1d9536ac,,191417550315188560,work.eheet.eheet,1.0.0,"151.254.132.55, 15.158.253.97","iPhone14,2",ab1d8175-635b-4697-a42c-c4d866191f11,EheetiOS
BBN9AF7,lingfeng_to_eheet,start_now,2026-01-29 06:13:24,2026/1/29,Google,iOS,false,,8c385339-f4a8-4973-bfd9-c09c43860be6,,142072755025679544,work.eheet.eheet,1.0.0,"37.105.195.70, 15.158.253.110","iPhone14,2",54674d22-502d-42ac-b149-676144831efd,EheetiOS
VCS28UX,lingfeng_to_eheet,start_now,2026-01-29 07:26:06,2026/1/29,Safari,iOS,false,,df59811d-d053-4a4e-b288-730ca6ab2f4a,,123733945663945520,work.eheet.eheet,1.0.0,"5.156.238.1, 15.158.253.110","iPhone14,2",588577ed-189c-4b8f-bf16-bbfbbe6f0b4b,EheetiOS
LH06BUZ,lingfeng_to_eheet,start_now,2026-01-29 09:31:57,2026/1/29,Google,iOS,false,,efa409d6-4da3-489b-be57-42bee86941b4,,170810775581790430,work.eheet.eheet,1.0.0,"86.97.228.78, 15.158.33.77","iPhone14,2",acac52d6-39ec-41be-929b-97da562b97f5,EheetiOS
VJ2ZB9T,lingfeng_to_eheet,start_now,2026-01-29 09:47:26,2026/1/29,Safari,iOS,false,,a56db32f-4fcb-457a-8a16-a5d7bc01ad20,,117396690201605058,work.eheet.eheet,1.0.0,"176.7.198.0, 18.68.42.233","iPhone14,2",bd6a1e8f-7cef-48a4-a7f4-29ef112d41e9,EheetiOS
SCI1FLT,lingfeng_to_eheet,start_now,2026-01-29 10:11:08,2026/1/29,Safari,iOS,false,,5a73587b-4686-4838-933b-4653c6e0cab3,,112817074698084774,work.eheet.eheet,1.0.0,"146.75.200.20, 3.172.104.72","iPhone14,2",ebdf0c83-eb2d-4a41-8b10-c0cb817f4dd9,EheetiOS
R57DHEK,lingfeng_to_eheet,start_now,2026-01-29 11:56:14,2026/1/29,Safari,iOS,false,,f8c14b5b-1a95-4f9e-a942-41557bcb7770,,169016427604315810,work.eheet.eheet,1.0.0,"81.110.204.167, 15.158.48.119","iPhone14,2",9e2133c8-baa4-4577-a3c6-5b8f38efa324,EheetiOS
JWQRD8K,lingfeng_to_eheet,start_now,2026-01-29 12:51:36,2026/1/29,Safari,iOS,false,,996befd0-2355-4761-b975-e94a270450f4,,163476378203459304,work.eheet.eheet,1.0.0,"216.164.31.94, 15.158.232.72","iPhone14,2",599e2c3f-0903-4516-ad0d-fdbb7a4fb20d,EheetiOS
8YRK9KX,lingfeng_to_eheet,start_now,2026-01-29 14:41:12,2026/1/29,Safari,iOS,false,,d2f25f9b-7766-4dfd-8a99-8a221c46778b,,179899255829029710,work.eheet.eheet,1.0.0,"2.89.144.160, 15.158.253.110","iPhone14,2",23d844fb-4bcb-43f1-acbc-1006c205e4a9,EheetiOS
KGLYSU7,lingfeng_to_eheet,start_now,2026-01-29 21:10:47,2026/1/29,Safari,iOS,false,,f6eb5e42-fa47-41b0-bac3-0d57f84ece12,,185864893600321070,work.eheet.eheet,1.0.0,"189.150.130.130, 18.68.19.212","iPhone14,2",ef5ccd12-28be-4996-ad56-275a8edb35eb,EheetiOS
